last_name,n_incidents,predicted_nationality,confidence
ngo,17856,Brazilian,0.090136
albert,17841,American,0.35049
lei,17790,American,0.325787
kubota,17729,Japanese,0.235057
dixon,17711,American,0.236549
pinheiro,17705,Brazilian,0.664911
huynh,17699,American,0.185674
doyle,17697,American,0.37812
singer,17693,American,0.413459
batista,17691,American,0.107531
rezaei,17687,Iranian,0.818772
nomura,17682,Japanese,0.173695
ling,17657,American,0.370218
chae,17643,Korean,0.182336
low,17639,American,0.332105
iyer,17617,American,0.184907
ball,17597,American,0.384539
honda,17579,Japanese,0.155542
carr,17578,American,0.56802
kojima,17545,Japanese,0.359799
bhattacharyya,17526,Indian,0.783505
brennan,17498,Brazilian,0.349571
hanson,17482,Brazilian,0.16361
kapoor,17480,Indian,0.5531
law,17460,American,0.289205
jafari,17446,Iranian,0.342844
brito,17444,Brazilian,0.521499
rizzo,17421,American,0.334475
ju,17399,American,0.208977
othman,17394,American,0.264474
hamid,17388,American,0.138072
narayanan,17369,Indian,0.475007
gallo,17316,American,0.216024
matsui,17297,Japanese,0.844883
behera,17290,American,0.170384
sengupta,17258,Indian,0.314865
said,17237,American,0.183896
hao,17199,Chinese,0.148417
rosenberg,17151,American,0.321609
nagai,17139,American,0.135021
barker,17126,American,0.439648
suresh,17113,Indian,0.336075
dash,17113,American,0.271033
masuda,17070,Japanese,0.484812
ueno,17067,Brazilian,0.169339
chua,17032,American,0.118949
robert,17011,American,0.388435
duan,16948,American,0.195159
ni,16934,American,0.257331
fleming,16910,German,0.257391
do,16848,American,0.291013
akhtar,16847,Indian,0.169029
goodman,16791,American,0.161352
schaefer,16778,American,0.356487
weaver,16729,American,0.398887
mukhopadhyay,16710,Indian,0.899937
ashraf,16700,Iranian,0.267883
imai,16656,American,0.110309
jun,16606,Korean,0.309987
winkler,16588,American,0.405633
webster,16583,American,0.391644
ge,16560,American,0.37435
guerrero,16527,Argentine,0.306167
pires,16523,Greek,0.272788
greene,16484,American,0.313539
soni,16452,American,0.169478
azevedo,16434,Brazilian,0.372226
parikh,16431,Indian,0.272847
curtis,16387,American,0.335098
raza,16289,American,0.197845
kerr,16271,American,0.487327
tsuji,16257,Japanese,0.919945
rhee,16204,Korean,0.269786
gan,16188,American,0.253211
weng,16159,Chinese,0.256013
adachi,16136,Japanese,0.270744
simmons,16117,American,0.167783
greco,16104,American,0.268387
dean,16044,American,0.266401
yasuda,16039,Japanese,0.64153
parsons,16034,Brazilian,0.382569
stevenson,16026,American,0.275868
tavares,16017,Portuguese,0.230136
wheeler,16006,American,0.49159
chi,15989,American,0.24728
rubin,15985,American,0.286112
