first_name,n_incidents,predicted_nationality,confidence
renato,29697,Brazilian,0.515365
karim,29676,American,0.111073
kohei,29666,Japanese,0.241246
cheryl,29579,American,0.179592
grzegorz,29477,American,0.258278
milan,29437,American,0.125628
chen,29428,American,0.214434
gabriella,29416,American,0.176984
hamed,29390,American,0.175709
prashant,29387,Indian,0.591988
pauline,29369,American,0.138967
ramesh,29289,Indian,0.317254
gloria,29286,American,0.124028
fred,29270,American,0.443835
elisabetta,29256,Italian,0.39847
benoit,29249,American,0.313101
sylvie,29215,American,0.220843
masoud,29185,Iranian,0.459274
michaela,29174,American,0.246776
jared,29152,Iranian,0.176751
feng,29137,Chinese,0.727357
sergei,29107,French,0.132781
shane,29100,Japanese,0.238285
per,29090,American,0.463657
serena,29005,Russian,0.225209
rolf,28980,American,0.376441
nigel,28967,American,0.216443
maarten,28951,Dutch,0.379315
ashok,28882,American,0.201223
leah,28725,American,0.416956
yasushi,28680,Japanese,0.879972
andres,28602,Portuguese,0.307459
krishna,28581,Indian,0.731865
iris,28565,Greek,0.293806
valentin,28502,Russian,0.603628
massimiliano,28455,Italian,0.201169
eleonora,28455,Italian,0.165745
artur,28425,American,0.147674
leonard,28314,American,0.366779
elias,28242,Greek,0.382574
beth,28178,American,0.284055
filip,28166,American,0.100114
brenda,28153,Brazilian,0.30071
angel,28143,American,0.294477
chad,28016,American,0.273582
molly,27966,American,0.343928
gavin,27919,American,0.240152
katrin,27904,Russian,0.475938
tao,27888,American,0.208983
ruben,27866,American,0.240474
shawn,27846,American,0.398945
wayne,27777,American,0.362584
matthieu,27664,French,0.686985
sami,27643,Japanese,0.132666
giulio,27629,Italian,0.307684
franziska,27552,American,0.169741
satoru,27532,Japanese,0.548367
osamu,27446,Japanese,0.117645
thorsten,27348,German,0.262671
marius,27304,German,0.166507
karolina,27292,Russian,0.615571
serge,27282,French,0.192693
ilya,27183,Russian,0.213546
vikas,27142,Lithuanian,0.421506
gonzalo,27141,American,0.184695
nathaniel,27115,American,0.228578
shinya,27104,Japanese,0.571676
adnan,27089,Indian,0.132508
manfred,27084,German,0.171076
yue,27057,Korean,0.21567
